Runtime/artifact,Accuracy,Macro-F1,ROC-AUC,AP,File size (kB)
Keras FP32,0.7319194061505833,0.7406309222996438,0.8910254866937385,0.9377809329101955,
TFLite FP32,0.7319194061505833,0.7406309222996438,0.8910254866937386,0.9377812170069356,256.6796875
TFLite INT8,0.48547189819724285,0.4198890893777658,0.7662514359481156,0.846137748320491,102.6875
