metric,comparison,mean_paired_difference,95CI_low,95CI_high,paired_t,paired_t_p,wilcoxon_W,wilcoxon_p,Cohen_dz
accuracy,Pruned 30%,0.0011028632025450902,-0.0011198243670852593,0.00332555077217544,1.1224474043828392,0.290723028863992,18.5,0.388671875,0.3549490351593836
accuracy,Pruned 50%,0.0003817603393425517,-0.0031977312598000973,0.003961251938485201,0.24126383935199422,0.8147574614711206,24.0,0.75,0.0762943249389264
macro_f1,Pruned 30%,0.0009468856000733661,-0.0013495438943428068,0.003243315094489539,0.9327541071118034,0.3752926048013928,18.0,0.375,0.2949627475349959
macro_f1,Pruned 50%,3.971701593943333e-05,-0.0035202431080475355,0.003599677139926402,0.025237960248261592,0.9804158908031494,26.0,0.921875,0.007980943788129524
roc_auc,Pruned 30%,0.0006581190015966465,-0.0013859534765433492,0.002702191479736642,0.7283345524161391,0.48492683462302344,23.0,0.6953125,0.23031960842342925
roc_auc,Pruned 50%,0.0015725208255469192,-0.0021551583657377403,0.005300200016831578,0.9542906099766237,0.3648632781012464,17.0,0.322265625,0.3017731877237533
ap,Pruned 30%,0.0004258217443090295,-0.000546256951005535,0.0013979004396235941,0.9909441628858886,0.34760513902846224,20.0,0.4921875,0.3133640588768301
ap,Pruned 50%,0.0008084126546633374,-0.0011485695280989143,0.0027653948374255894,0.9344778370477052,0.3744499760177231,20.0,0.4921875,0.2955078388018425
