,accuracy,accuracy,macro_f1,macro_f1,roc_auc,roc_auc,ap,ap,observed_sparsity_pct,observed_sparsity_pct
,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,
Baseline,0.7501378579003182,0.016007832034371627,0.7696835631068325,0.01654306595283846,0.8825481859475424,0.00621198596203625,0.9317156283912166,0.0031402254666245883,0.0,0.0
Continued unpruned,0.7555037115588548,0.0075256266000281345,0.774946358128474,0.008487153694889862,0.8846337883272991,0.005365987820755898,0.9330127473579761,0.0028746530506817136,0.0,0.0
Pruned 30%,0.7566065747613998,0.006598814976306184,0.7758932437285473,0.0075665716812843105,0.8852919073288957,0.004119862704564616,0.9334385691022851,0.0023779326225918246,30.000656254101592,0.0
Pruned 50%,0.7558854718981973,0.004657382564015701,0.7749860751444133,0.005841745341401692,0.886206309152846,0.0033221791140248904,0.9338211600126394,0.0020193525665615835,50.0,0.0
